City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,olonkinbyen,70.9221,-8.7187,1.9499999999999886,75,100,5.14,SJ,1698718327
116,yeed,4.55,43.0333,25.180000000000007,74,17,2.71,SO,1698718327
117,santiago de cao,-7.9589,-79.2392,19.220000000000027,88,75,3.6,PE,1698718239
118,chetwayi,10.5333,76.05,25.370000000000005,86,100,2.64,IN,1698718328
119,polyarnyy,69.1989,33.4478,-5.420000000000016,94,100,6.13,RU,1698718329
120,cabo san lucas,22.8909,-109.9124,27.24000000000001,79,40,3.6,MX,1698718055
121,fortuna,40.5982,-124.1573,12.660000000000025,71,0,0.0,US,1698718329
122,stanley,54.868,-1.6985,7.240000000000009,95,100,1.03,GB,1698718188
123,loreto,22.2667,-101.9667,16.939999999999998,56,2,6.95,MX,1698718330
124,woolgoolga,-30.1106,153.2007,36.839999999999975,42,51,4.07,AU,1698718330
125,atafu village,-8.5421,-172.5159,29.220000000000027,73,32,6.52,TK,1698718330
126,lebu,-37.6167,-73.65,7.8799999999999955,81,97,3.84,CL,1698718331
127,puerto deseado,-47.7503,-65.8938,4.410000000000025,59,21,6.15,AR,1698718331
128,hammerfest,70.6634,23.6821,2.3999999999999773,80,40,5.14,NO,1698718332
129,tura,25.5198,90.2201,23.29000000000002,78,68,0.8,IN,1698718332
130,invercargill,-46.4,168.35,16.829999999999984,71,100,1.79,NZ,1698718244
131,belyy yar,53.6039,91.3903,-2.910000000000025,100,75,0.0,RU,1698718333
132,kailua-kona,19.6406,-155.9956,29.129999999999995,78,20,6.17,US,1698718334
133,great falls,47.5002,-111.3008,0.39999999999997726,69,0,5.66,US,1698718304
134,manacapuru,-3.2997,-60.6206,26.899999999999977,76,100,2.78,BR,1698718334
135,grand falls-windsor,48.9332,-55.6649,0.9900000000000091,87,97,1.74,CA,1698718335
136,novodvinsk,64.4165,40.8122,-8.300000000000011,97,69,1.94,RU,1698718053
137,saipan,15.1355,145.701,32.54000000000002,70,40,7.2,MP,1698718336
138,vrbas,45.5714,19.6408,17.410000000000025,36,97,5.32,RS,1698718104
139,izluchinsk,60.9794,76.9242,-10.839999999999975,95,43,3.09,RU,1698718337
140,aykhal,66.0,111.5,-21.22,99,99,3.11,RU,1698718337
141,bamboo flat,11.7,92.7167,29.19999999999999,79,40,2.57,IN,1698718338
142,goundam,16.4145,-3.6708,29.279999999999973,12,18,3.87,ML,1698718338
143,paragominas,-2.9667,-47.4833,26.310000000000002,63,4,2.48,BR,1698718338
144,crieff,56.3727,-3.8389,6.670000000000016,76,94,3.92,GB,1698718339
145,trairi,-3.2778,-39.2689,25.970000000000027,73,10,3.83,BR,1698718045
146,cold lake,54.4502,-110.2017,-4.8799999999999955,63,100,3.6,CA,1698718339
147,vavuniya,8.7514,80.4971,24.980000000000018,90,100,1.45,LK,1698718340
148,nguru,12.8791,10.4526,26.80000000000001,17,83,4.51,NG,1698718341
149,praia da vitoria,38.7333,-27.0667,19.45999999999998,86,85,8.07,PT,1698718342
150,tofol,5.3248,163.0078,28.680000000000007,72,21,2.82,FM,1698718342
151,fisterra,42.9049,-9.2629,12.939999999999998,77,25,7.43,ES,1698718343
152,pisco,-13.7,-76.2167,19.600000000000023,82,17,7.2,PE,1698718343
153,penalva,-3.2942,-45.1736,25.110000000000014,80,0,1.62,BR,1698718343
154,tadmur,34.5608,38.2805,21.370000000000005,44,96,1.49,SY,1698718344
155,flying fish cove,-10.4217,105.6791,27.970000000000027,78,100,4.12,CX,1698718344
156,slave lake,55.2834,-114.769,0.13999999999998636,69,100,3.09,CA,1698718344
157,labrador city,52.9463,-66.9114,-4.899999999999977,68,75,2.06,CA,1698718344
158,hotan,37.0997,79.9269,14.519999999999982,17,1,0.9,CN,1698718141
159,jirja,26.3383,31.8916,24.860000000000014,50,0,2.45,EG,1698718345
160,clovis,36.8252,-119.7029,19.089999999999975,36,20,0.0,US,1698718199
161,badger,64.8,-147.5333,1.079999999999984,84,75,0.0,US,1698718346
162,altdorf,49.3875,11.3572,11.329999999999984,91,100,6.53,DE,1698718346
163,santa cruz,-17.8,-63.1667,30.779999999999973,48,100,3.75,BO,1698718346
164,tazovsky,67.4667,78.7,-17.00999999999999,97,34,2.27,RU,1698718347
165,vangaindrano,-23.35,47.6,22.329999999999984,94,11,1.94,MG,1698718347
166,coahuayana de hidalgo,18.7,-103.6583,25.970000000000027,92,51,1.62,MX,1698718348
167,tralee,52.2704,-9.7026,10.199999999999989,88,88,1.89,IE,1698718348
168,barclayville,4.6797,-8.2339,24.980000000000018,92,100,0.52,LR,1698718348
169,al jubayl,27.0112,49.6583,27.0,60,42,0.46,SA,1698718102
170,tambura,5.6,27.4667,21.30000000000001,83,22,1.22,SS,1698718350
171,zouerate,22.7187,-12.4521,27.470000000000027,16,0,2.21,MR,1698718350
172,khandyga,62.6667,135.6,-9.089999999999975,93,100,2.19,RU,1698718351
173,kharp,66.8014,65.8081,-11.019999999999982,96,100,1.9,RU,1698718351
174,whakatane,-37.9585,176.9854,18.910000000000025,96,100,3.58,NZ,1698718352
175,nar'yan-mar,67.6713,53.087,-6.4599999999999795,95,89,4.47,RU,1698718353
176,lospalos,-8.5186,127.0025,30.060000000000002,54,70,4.9,TL,1698718353
177,crane,31.3974,-102.3501,5.199999999999989,47,2,2.07,US,1698718353
178,sisimiut,66.9395,-53.6735,-0.9599999999999795,61,81,4.71,GL,1698718354
179,cuyo,10.8525,121.0086,29.160000000000025,71,99,6.04,PH,1698718355
180,peterhead,57.5058,-1.7981,4.3700000000000045,59,7,9.56,GB,1698718355
181,plastun,44.7561,136.2939,16.269999999999982,50,2,1.72,RU,1698718248
182,hilo,19.7297,-155.09,27.0,86,100,3.6,US,1698718097
183,hamilton,39.1834,-84.5333,4.839999999999975,85,0,2.57,US,1698718106
184,palmer,42.1584,-72.3287,9.170000000000016,81,75,4.12,US,1698718357
185,georgetown,5.4112,100.3354,30.120000000000005,74,20,2.06,MY,1698718182
186,vila franca do campo,37.7167,-25.4333,19.379999999999995,99,72,4.21,PT,1698718357
187,jaen,38.0,-3.5,9.740000000000009,60,100,1.35,ES,1698718358
188,jamestown,42.097,-79.2353,4.920000000000016,81,100,3.6,US,1698718124
189,canchungo,12.0672,-16.0333,25.439999999999998,86,70,1.78,GW,1698718358
190,divrigi,39.371,38.1137,15.04000000000002,56,100,0.58,TR,1698718358
191,papao,-17.75,-149.55,27.970000000000027,83,13,9.38,PF,1698718359
192,iranshahr,27.2025,60.6848,22.339999999999975,40,0,2.06,IR,1698718359
193,nemuro,43.3236,145.575,11.870000000000005,71,13,5.32,JP,1698718360
194,saint-pierre,-21.3393,55.4781,22.970000000000027,64,0,3.6,RE,1698718180
195,melfi,40.9965,15.6514,17.920000000000016,48,100,4.4,IT,1698718361
196,nantucket,41.2835,-70.0995,12.230000000000018,94,100,6.69,US,1698718158
197,ar ruways,24.1103,52.7306,28.850000000000023,70,72,5.11,AE,1698718075
198,kirakira,-10.4544,161.9205,29.519999999999982,75,39,4.83,SB,1698718361
199,ilhabela,-23.7781,-45.3581,23.870000000000005,92,100,1.49,BR,1698718361
200,aasiaat,68.7098,-52.8699,-9.970000000000027,89,29,4.11,GL,1698718362
201,las heras,-46.5419,-68.9359,5.019999999999982,42,53,5.14,AR,1698718363
202,malango,-2.9627,119.9001,29.589999999999975,46,30,2.11,ID,1698718364
203,cerro de ortega,18.75,-103.7667,25.899999999999977,91,42,1.67,MX,1698718364
204,fale old settlement,-9.3852,-171.2468,28.769999999999982,77,100,7.11,TK,1698718365
205,khanty-mansiysk,61.0042,69.0019,-10.79000000000002,79,40,3.13,RU,1698718366
206,dudinka,69.4058,86.1778,-16.170000000000016,97,99,0.89,RU,1698718181
207,faaa,-17.55,-149.6,28.129999999999995,74,75,4.47,PF,1698718248
208,amlapura,-8.45,115.6167,29.470000000000027,66,8,2.98,ID,1698718367
209,cockburn town,21.4612,-71.1419,28.810000000000002,80,99,6.11,TC,1698718367
210,haiku-pauwela,20.9219,-156.3051,27.160000000000025,71,20,7.72,US,1698718368
211,alesund,62.4723,6.1549,2.7900000000000205,73,20,5.14,NO,1698718090
212,muli,2.9167,73.5667,27.899999999999977,71,99,1.54,MV,1698718369
213,corner brook,48.9667,-57.9484,1.1499999999999773,89,100,1.31,CA,1698718183
